Address A	Port A	Address B	Port B	Packets	Bytes	Packets A → B	Bytes A → B	Packets B → A	Bytes B → A	Rel Start	Duration	Bits/s A → B	Bits/s B → A
1.20.100.42	47962	192.168.1.4	42960	2	128	1	54	1	74	0.063033642	0.70669709	611.2944373	837.6997845
5.58.152.226	60583	192.168.1.4	47298	2	128	1	54	1	74	0.053695	0.476085319	907.4003813	1243.474597
5.128.32.12	51959	192.168.1.4	50788	5	370	0	0	5	370	0.05243803	15.46540141	0	191.3949675
24.172.34.114	52143	192.168.1.4	42370	2	128	1	54	1	74	0.04892126	0.480830181	898.4460982	1231.203912
31.173.211.114	43873	192.168.1.4	41204	14	1821	1	74	13	1747	0.03570873	90.74556173	6.523735032	154.0130419
36.67.27.29	56125	192.168.1.4	50902	5	370	0	0	5	370	0.06593583	15.45207188	0	191.5600719
36.89.190.217	45170	192.168.1.4	44914	5	370	0	0	5	370	0.045794836	15.47206584	0	191.3125262
36.89.227.50	53281	192.168.1.4	48802	10	1258	1	74	9	1184	0.063237976	90.7179928	6.525717575	104.4114812
41.78.172.20	61169	192.168.1.4	53984	1	74	0	0	1	74	0.017488422	0	0	0
41.170.11.226	46093	192.168.1.4	32922	11	1421	1	74	10	1347	0.054953233	58.98229933	10.03690949	182.6988795
41.216.230.154	56673	192.168.1.4	34418	27	8762	13	7064	14	1698	0.02929478	5.52921257	10220.62351	2456.769355
42.115.39.70	49236	192.168.1.4	41334	5	370	0	0	5	370	0.064345419	15.45297834	0	191.5488351
43.229.252.45	53281	192.168.1.4	47464	11	1332	1	74	10	1258	0.070308312	107.0958671	5.52775766	93.97188023
45.64.122.210	58181	192.168.1.4	46766	2	128	1	54	1	74	0.066670544	0.790044685	546.804514	749.3247043
46.99.179.81	48746	192.168.1.4	41300	2	128	1	54	1	74	0.066978231	0.572780902	754.2150908	1033.554013
50.7.105.69	48823	192.168.1.4	46810	30	8958	13	7090	17	1868	0.037244408	3.192456046	17766.88518	4681.035474
50.7.106.228	48823	192.168.1.4	45926	25	8637	13	7071	12	1566	0.052134805	2.417488326	23399.49252	5182.238055
51.254.182.52	61133	192.168.1.4	48408	5	370	0	0	5	370	0.062374942	15.45496882	0	191.5241652
62.232.2.98	53281	192.168.1.4	42972	5	370	0	0	5	370	0.038163748	15.47968116	0	191.2184088
77.222.20.246	47888	192.168.1.4	42336	5	370	0	0	5	370	0.037051082	15.48127109	0	191.1987707
78.128.124.9	47654	192.168.1.4	45532	5	370	0	0	5	370	0.069994091	15.44748516	0	191.6169506
79.78.184.12	56834	192.168.1.4	51996	5	370	0	0	5	370	0.064095789	15.45384138	0	191.5381378
79.106.41.15	35876	192.168.1.4	33034	5	370	0	0	5	370	0.071076386	15.44706056	0	191.6222176
80.55.32.238	59513	192.168.1.4	35978	5	370	0	0	5	370	0.061940571	15.4553426	0	191.5195332
80.71.112.51	55243	192.168.1.4	40818	35	9372	18	7397	17	1975	0.061567363	3.728277941	15872.20721	4237.88147
80.249.229.64	42186	192.168.1.4	33596	2	128	1	54	1	74	0.027798917	0.234087894	1845.460663	2528.964612
81.16.10.141	59352	192.168.1.4	42306	3	202	1	54	2	148	0.070760233	1.328800939	325.1051285	891.0288707
81.199.32.214	60172	192.168.1.4	53418	5	370	0	0	5	370	0.068575288	15.44950427	0	191.5919079
83.13.63.38	60860	192.168.1.4	49652	2	128	1	54	1	74	0.045750007	0.433599779	996.3104709	1365.314349
83.167.203.174	44848	192.168.1.4	39864	2	128	1	54	1	74	0.04251683	0.396084414	1090.676595	1494.630889
83.219.1.80	56004	192.168.1.4	46562	3	202	1	54	2	148	0.020532688	1.29897476	332.5699723	911.4880723
83.239.97.26	50223	192.168.1.4	42960	2	128	1	54	1	74	0.042271289	0.384886352	1122.409246	1538.116374
85.11.66.137	55886	192.168.1.4	48228	5	370	0	0	5	370	0.069806352	15.44766351	0	191.6147382
85.193.216.85	59205	192.168.1.4	51464	2	128	1	54	1	74	0.049963593	0.469578104	919.9747525	1260.706142
85.193.229.6	57712	192.168.1.4	34616	2	128	1	54	1	74	0.033365936	0.2364337	1827.150698	2503.873179
85.198.135.180	54630	192.168.1.4	38422	5	370	0	0	5	370	0.038421658	15.47932638	0	191.2227914
86.38.39.21	54703	192.168.1.4	47538	5	370	0	0	5	370	0.010867535	15.50673482	0	190.8848017
86.100.77.210	53281	192.168.1.4	50878	30	9168	14	7125	16	2043	0.018903294	5.881591718	9691.254125	2778.839604
88.146.243.106	35852	192.168.1.4	33508	5	370	0	0	5	370	0.004802746	15.51279285	0	190.8102576
89.67.144.213	55605	192.168.1.4	50988	5	370	0	0	5	370	0.020544515	15.49707038	0	191.0038432
89.189.189.115	59249	192.168.1.4	36546	5	370	0	0	5	370	0.028789905	15.48886721	0	191.105002
89.231.32.226	55466	192.168.1.4	49236	2	148	0	0	2	148	0.038886595	1.014469093	0	1167.112934
91.203.115.21	45644	192.168.1.4	44434	30	8955	15	7191	15	1764	0.03414675	2.325548329	24737.39173	6068.246282
91.214.240.19	50481	192.168.1.4	37752	2	128	1	54	1	74	0.053182129	0.466424176	926.1955581	1269.23095
91.230.199.174	60926	192.168.1.4	43866	2	128	1	54	1	74	0.025531565	0.236313731	1828.078285	2505.144316
91.235.7.216	59067	192.168.1.4	39846	5	370	0	0	5	370	0.047728015	15.47067897	0	191.3296764
92.39.56.15	61917	192.168.1.4	60338	29	8909	15	7191	14	1718	0.073461219	2.996225561	19200.15661	4587.104582
92.244.36.66	60789	192.168.1.4	54586	30	8967	16	7269	14	1698	0.034029043	2.345663673	24791.27791	5791.111555
92.244.36.68	47150	192.168.1.4	38734	5	370	0	0	5	370	0.036762387	15.48107226	0	191.2012263
93.87.66.66	61831	192.168.1.4	58212	2	128	1	54	1	74	0.030921692	0.230987597	1870.230288	2562.908172
93.116.57.4	55674	192.168.1.4	50434	2	128	1	54	1	74	0.006762644	0.254931526	1694.572683	2322.192195
